Min_50.0% renyi_inf   AUC 0.6648, Accuracy 0.6350, TPR@5.0% FPR of 0.0767
Min_60.0% renyi_05   AUC 0.7413, Accuracy 0.7067, TPR@5.0% FPR of 0.1867
Min_60.0% renyi_1   AUC 0.7273, Accuracy 0.6867, TPR@5.0% FPR of 0.1000
Min_60.0% renyi_2   AUC 0.6918, Accuracy 0.6517, TPR@5.0% FPR of 0.0700
Min_60.0% renyi_inf   AUC 0.6773, Accuracy 0.6450, TPR@5.0% FPR of 0.0667
Min_70.0% renyi_05   AUC 0.7321, Accuracy 0.6967, TPR@5.0% FPR of 0.1433
Min_70.0% renyi_1   AUC 0.7257, Accuracy 0.6917, TPR@5.0% FPR of 0.1000
Min_70.0% renyi_2   AUC 0.7037, Accuracy 0.6633, TPR@5.0% FPR of 0.0733
Min_70.0% renyi_inf   AUC 0.6872, Accuracy 0.6600, TPR@5.0% FPR of 0.0800
Min_80.0% renyi_05   AUC 0.7222, Accuracy 0.6900, TPR@5.0% FPR of 0.1200
Min_80.0% renyi_1   AUC 0.7137, Accuracy 0.6850, TPR@5.0% FPR of 0.1000
Min_80.0% renyi_2   AUC 0.6993, Accuracy 0.6700, TPR@5.0% FPR of 0.0867
Min_80.0% renyi_inf   AUC 0.6871, Accuracy 0.6633, TPR@5.0% FPR of 0.0833
Min_90.0% renyi_05   AUC 0.7197, Accuracy 0.6917, TPR@5.0% FPR of 0.1233
Min_90.0% renyi_1   AUC 0.7102, Accuracy 0.6800, TPR@5.0% FPR of 0.1067
Min_90.0% renyi_2   AUC 0.6880, Accuracy 0.6633, TPR@5.0% FPR of 0.0900
Min_90.0% renyi_inf   AUC 0.6781, Accuracy 0.6533, TPR@5.0% FPR of 0.0867
Min_100% renyi_05   AUC 0.7181, Accuracy 0.6900, TPR@5.0% FPR of 0.1300
Min_100% renyi_1   AUC 0.7119, Accuracy 0.6800, TPR@5.0% FPR of 0.1100
Min_100% renyi_2   AUC 0.6912, Accuracy 0.6600, TPR@5.0% FPR of 0.0933
Min_100% renyi_inf   AUC 0.6782, Accuracy 0.6450, TPR@5.0% FPR of 0.0833
