,org,aug1,aug2,aug3,aug4
121,4.0819,4.3961,4.2221,4.1647,4.1862
122,4.1301,3.8662,4.251,4.2549,4.1476
123,3.8521,3.6489,3.9292,3.8319,3.9461
124,4.2645,3.9306,4.1276,4.0656,4.0382
125,4.2711,4.2134,4.2711,4.2034,4.2979
126,4.5657,4.1414,4.5188,4.5701,4.6346
127,4.1437,3.8648,4.1587,4.3729,4.2167
128,3.8382,3.6178,3.8352,4.0335,3.89
129,4.5829,4.6212,4.3827,4.5358,4.4967
130,4.2117,3.8218,4.0859,4.266,4.13
131,4.1496,4.0621,4.2507,4.3924,4.1888
132,4.1248,3.976,4.0981,4.016,4.1019
133,4.5276,4.4619,4.3391,4.4973,4.5175
134,4.1014,3.976,4.2179,4.1543,4.395
135,4.4455,4.3581,4.4326,4.3568,4.4705
136,4.4021,4.2135,4.3797,4.3654,4.4901
137,4.0991,3.8214,4.0925,4.0363,4.1354
138,4.0764,4.0169,4.2269,4.4078,4.1658
139,4.2297,4.1128,4.3188,4.3437,4.1586
140,4.2902,4.2684,4.3244,4.2558,4.3289
141,4.0474,4.1476,4.1346,4.1681,4.1308
142,4.0071,4.02,4.1113,4.0319,4.0745
143,4.0597,3.9476,4.1621,4.2794,4.0412
144,4.1682,3.8364,4.2567,4.1927,4.1178
145,4.1921,3.9792,4.2651,4.2705,4.1706
146,4.1801,4.0652,3.9697,3.8834,4.0658
147,4.0764,3.9194,4.0122,4.1549,4.0971
148,4.1225,4.1159,4.0335,4.1804,4.1771
149,4.416,4.1255,4.4466,4.5742,4.5165
150,3.9576,3.7537,3.9106,4.1552,3.9605
151,4.4348,4.0075,4.4228,4.2934,4.4777
152,4.3351,4.1185,4.3471,4.5222,4.2613
153,4.2721,4.1001,4.3121,4.1463,4.3715
154,4.4803,4.1581,4.3086,4.4096,4.389
155,3.8938,4.0364,4.1007,4.0601,4.0073
156,3.9169,3.7722,4.0629,4.1185,4.0195
157,4.1381,4.102,4.1681,4.0812,4.1203
158,4.0074,3.8532,4.0114,3.9126,4.0728
159,4.4123,4.1903,4.4921,4.4437,4.5322
160,4.4658,4.2388,4.3761,4.3866,4.4004
161,4.3625,4.1093,4.1557,4.2229,4.3372
162,4.1174,4.0295,4.3609,4.3768,4.0864
163,4.118,4.0049,4.1457,4.141,3.9723
164,4.132,4.0071,4.2198,4.1933,4.457
165,4.3239,4.0895,4.324,4.4349,4.3977
166,4.2911,3.9538,4.2807,4.2274,4.3246
167,4.6247,4.8459,4.6523,4.6647,4.6193
168,4.3761,4.6248,4.3015,4.4444,4.4951
169,4.1617,4.3454,4.036,4.0712,4.2104
170,4.4946,4.4324,4.5325,4.5177,4.6992
171,4.1227,3.6286,4.1611,4.0819,4.0489
172,3.8766,3.8378,4.1457,3.9344,3.6991
173,4.0067,3.5779,3.957,4.0264,3.9856
174,4.0015,3.7204,4.0645,4.3111,4.003
175,4.2698,4.3511,4.3282,4.4631,4.1042
176,4.2614,4.0778,4.3002,4.2178,4.3898
177,4.3478,4.2754,4.2731,4.4035,4.1406
178,4.18,3.9041,4.3325,4.3343,4.3823
179,4.0,3.8869,4.0426,4.3201,4.0547
180,4.2776,3.9379,4.1678,4.1099,4.191
181,4.5786,4.7843,4.4664,4.3926,4.5449
182,4.0124,3.7162,3.9822,4.1201,4.1069
183,4.0672,3.8967,4.0373,4.4185,4.1346
184,3.9924,3.7894,3.9909,3.9516,4.0541
185,4.0336,3.4522,4.094,4.1346,3.9541
186,3.7756,3.6152,3.9166,4.3526,3.8708
187,3.9501,3.6195,4.0356,3.8461,3.8324
188,4.3062,4.077,4.3846,4.3099,4.5884
189,4.1856,4.314,4.1588,4.2717,4.0402
190,3.4963,3.6746,3.7605,3.674,3.5217
191,4.1157,3.9923,4.2359,4.2125,4.2152
192,4.3027,4.0492,4.2832,4.281,4.2142
193,4.2001,3.8346,4.3975,4.1601,4.3125
194,3.9402,3.6577,3.8947,4.0514,3.9309
195,4.7837,4.354,4.7311,4.6733,4.7503
196,4.1546,3.9498,4.2412,4.1697,4.0785
197,4.2728,4.2294,4.1237,4.3314,4.2957
198,3.9684,3.3941,3.9747,4.1025,3.9493
199,4.3748,4.2031,4.1716,4.1711,4.3657
200,4.0491,3.7468,4.1142,4.0396,3.9035
201,4.1139,3.7148,4.1259,4.041,4.2573
202,4.084,3.7641,4.1588,4.2083,4.1853
203,3.862,3.9264,3.9517,4.2846,4.186
204,3.9972,4.3171,4.0331,4.2334,4.2288
205,4.1454,3.9696,4.1442,4.2651,4.2751
206,4.1773,4.0142,4.3566,4.2314,4.2136
207,4.0392,4.0406,4.2665,4.2128,4.1354
208,4.3531,3.9047,4.2814,4.1827,4.3827
209,3.9424,3.7428,3.8629,3.7412,4.3645
210,4.2081,4.2276,4.3233,4.3294,4.3939
211,4.3638,4.0755,4.2728,4.3549,4.4698
212,4.3075,4.1359,4.2654,4.286,4.4206
213,4.4785,4.1084,4.4955,4.5079,4.5784
214,4.2163,4.7204,4.3216,4.2217,4.126
215,4.0406,4.1435,3.9326,4.1526,4.1016
216,4.2141,3.8565,4.1308,4.2308,4.2851
217,4.078,3.9641,3.9508,4.104,4.0534
218,4.1444,3.9881,4.0789,3.9528,4.1039
219,4.1174,4.0757,4.119,4.0807,4.0674
220,4.057,4.0203,4.1457,4.1811,4.2898
