aug_kl   AUC 0.5338, Accuracy 0.5483, TPR@5.0% FPR of 0.0500
Min_5.0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1333
Min_10.0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@5.0% FPR of 0.1133
Min_10.0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@5.0% FPR of 0.1200
Min_10.0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1367
Min_10.0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1333
Min_20.0% renyi_05   AUC 0.7459, Accuracy 0.7083, TPR@5.0% FPR of 0.1600
Min_20.0% renyi_1   AUC 0.4227, Accuracy 0.5233, TPR@5.0% FPR of 0.0167
Min_20.0% renyi_2   AUC 0.4158, Accuracy 0.5183, TPR@5.0% FPR of 0.0200
Min_20.0% renyi_inf   AUC 0.4158, Accuracy 0.5183, TPR@5.0% FPR of 0.0200
Min_30.0% renyi_05   AUC 0.6274, Accuracy 0.6000, TPR@5.0% FPR of 0.1800
Min_30.0% renyi_1   AUC 0.6287, Accuracy 0.6033, TPR@5.0% FPR of 0.0800
Min_30.0% renyi_2   AUC 0.6197, Accuracy 0.6000, TPR@5.0% FPR of 0.0833
Min_30.0% renyi_inf   AUC 0.6197, Accuracy 0.6000, TPR@5.0% FPR of 0.0833
Min_40.0% renyi_05   AUC 0.6734, Accuracy 0.6200, TPR@5.0% FPR of 0.1733
Min_40.0% renyi_1   AUC 0.6676, Accuracy 0.6217, TPR@5.0% FPR of 0.1167
Min_40.0% renyi_2   AUC 0.6264, Accuracy 0.6250, TPR@5.0% FPR of 0.0833
Min_40.0% renyi_inf   AUC 0.6258, Accuracy 0.6267, TPR@5.0% FPR of 0.0833
Min_50.0% renyi_05   AUC 0.6870, Accuracy 0.6533, TPR@5.0% FPR of 0.1967
Min_50.0% renyi_1   AUC 0.6640, Accuracy 0.6350, TPR@5.0% FPR of 0.1500
Min_50.0% renyi_2   AUC 0.6889, Accuracy 0.6550, TPR@5.0% FPR of 0.0800
Min_50.0% renyi_inf   AUC 0.6863, Accuracy 0.6533, TPR@5.0% FPR of 0.0867
Min_60.0% renyi_05   AUC 0.6902, Accuracy 0.6550, TPR@5.0% FPR of 0.2000
Min_60.0% renyi_1   AUC 0.6914, Accuracy 0.6467, TPR@5.0% FPR of 0.1500
Min_60.0% renyi_2   AUC 0.6745, Accuracy 0.6483, TPR@5.0% FPR of 0.1100
Min_60.0% renyi_inf   AUC 0.6699, Accuracy 0.6450, TPR@5.0% FPR of 0.0967
Min_70.0% renyi_05   AUC 0.6967, Accuracy 0.6600, TPR@5.0% FPR of 0.1633
Min_70.0% renyi_1   AUC 0.6921, Accuracy 0.6433, TPR@5.0% FPR of 0.1567
Min_70.0% renyi_2   AUC 0.6545, Accuracy 0.6300, TPR@5.0% FPR of 0.1033
Min_70.0% renyi_inf   AUC 0.6272, Accuracy 0.6033, TPR@5.0% FPR of 0.1067
Min_80.0% renyi_05   AUC 0.7090, Accuracy 0.6633, TPR@5.0% FPR of 0.1800
Min_80.0% renyi_1   AUC 0.6901, Accuracy 0.6533, TPR@5.0% FPR of 0.1633
Min_80.0% renyi_2   AUC 0.6624, Accuracy 0.6433, TPR@5.0% FPR of 0.1000
Min_80.0% renyi_inf   AUC 0.6429, Accuracy 0.6267, TPR@5.0% FPR of 0.1167
Min_90.0% renyi_05   AUC 0.7091, Accuracy 0.6650, TPR@5.0% FPR of 0.1733
Min_90.0% renyi_1   AUC 0.6894, Accuracy 0.6717, TPR@5.0% FPR of 0.1267
Min_90.0% renyi_2   AUC 0.6630, Accuracy 0.6433, TPR@5.0% FPR of 0.1200
Min_90.0% renyi_inf   AUC 0.6504, Accuracy 0.6283, TPR@5.0% FPR of 0.1033
Min_100% renyi_05   AUC 0.7264, Accuracy 0.6833, TPR@5.0% FPR of 0.2133
Min_100% renyi_1   AUC 0.7196, Accuracy 0.6950, TPR@5.0% FPR of 0.1167
Min_100% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@5.0% FPR of 0.0900
Min_100% renyi_inf   AUC 0.6733, Accuracy 0.6533, TPR@5.0% FPR of 0.1133
