For Example 26, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0058, 0.0133, 0.0000, 0.0000, 0.0011, 0.0524, 0.0052, 0.0015, 0.0109, 0.0107, 0.0199, 0.0065, 0.0099, 0.0003, 0.0199, 0.0000, 0.0126, 0.0213, 0.0105, 0.0043, 0.0000, 0.0000, 0.0179, 0.0004, 0.0002, 0.0005, 0.0014, 0.0333, 0.0021, 0.0096, 0.0043, 0.0139]
For Example 27, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0048, 0.0359, 0.0040, 0.2171, 0.4301, 0.2085, 0.0188, 0.4157, 0.0000, 0.1704, 0.0702, 0.0824, 0.2823, 0.0878, 0.0048, 0.1959, 0.4563, 0.0002, 0.0753, 0.1450, 0.1002, 0.8338, 0.0247, 0.0174, 0.1872, 0.4816, 0.0209, 0.1010, 0.0112, 0.1771, 0.0509, 0.0046]
For Example 28, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0066, 0.0510, 0.0130, 0.7282, 0.1885, 0.0325, 0.0000, 0.0105, 0.0152, 0.0039, 0.0164, 0.0458, 0.0001, 0.1168, 0.1710, 0.1301, 0.0234, 0.0227, 0.0107, 0.0070, 0.0194, 0.0000, 0.0074, 0.0025, 0.0031, 0.0005, 0.0016, 0.0030, 0.0018, 0.0079, 0.0324, 0.0445]
For Example 29, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0008, 0.0084, 0.0041, 0.4595, 0.4751, 0.2495, 0.5973, 0.0108, 0.0022, 0.0026, 0.5469, 0.4642, 0.0014, 0.0669, 0.3692, 0.0129, 0.0122, 0.0074, 0.0084, 0.0279, 0.1038, 0.0025, 0.0592, 0.0530, 0.0032, 0.0537, 0.0125, 0.0406, 0.0000, 0.0118, 0.0107, 0.0057]
For Example 30, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0053, 0.0183, 0.0000, 0.0000, 0.0028, 0.1024, 0.0153, 0.0000, 0.0689, 0.0506, 0.0612, 0.0165, 0.1745, 0.0147, 0.0656, 0.0397, 0.0280, 0.0011, 0.0315, 0.0000, 0.3436, 0.1264, 0.0001, 0.0136, 0.0309, 0.0125, 0.0023, 0.0005, 0.1595, 0.0466, 0.0181, 0.0012]
For Example 31, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0042, 0.0212, 0.0076, 0.3044, 0.3048, 0.0000, 0.1586, 0.0057, 0.0036, 0.0945, 0.0744, 0.3904, 0.0000, 0.0618, 0.1627, 0.3788, 0.0003, 0.1293, 0.0014, 0.0248, 0.0357, 0.0375, 0.0000, 0.0116, 0.0720, 0.0000, 0.0086, 0.0006, 0.0098, 0.0007, 0.0000, 0.0048]
For Example 32, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0057, 0.0130, 0.0049, 0.0673, 0.0039, 0.0007, 0.0000, 0.0479, 0.1013, 0.0079, 0.0345, 0.0876, 0.0111, 0.0483, 0.0596, 0.0643, 0.0115, 0.0320, 0.0126, 0.0140, 0.0037, 0.0129, 0.0533, 0.0023, 0.0080, 0.0037, 0.0268, 0.0329, 0.0202, 0.0036, 0.0114, 0.0264]
For Example 33, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0012, 0.0127, 0.0067, 0.0803, 0.1271, 0.0000, 0.0800, 0.0374, 0.0102, 0.0440, 0.0335, 0.1781, 0.0000, 0.0256, 0.2005, 0.0000, 0.0847, 0.0097, 0.0659, 0.0079, 0.0438, 0.4677, 0.0214, 0.0054, 0.0371, 0.0008, 0.0040, 0.0007, 0.0013, 0.0000, 0.0023, 0.0000]
For Example 34, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0046, 0.0147, 0.0076, 0.0897, 0.0125, 0.1095, 0.0000, 0.1239, 1.9090, 0.3302, 0.5613, 0.1763, 0.0002, 0.0533, 0.1971, 0.0413, 0.0048, 0.0568, 0.0220, 0.1275, 0.0069, 0.4541, 0.0000, 0.0000, 0.0000, 0.0081, 0.0322, 0.0053, 0.0056, 0.0001, 0.0512, 0.0702]
For Example 35, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0056, 0.0354, 0.0858, 0.4979, 0.0153, 0.0806, 0.6367, 0.3977, 0.3600, 0.0000, 0.0000, 0.1536, 0.1054, 0.4616, 0.0002, 0.2099, 0.0000, 0.0316, 0.0723, 0.0340, 0.0000, 0.0000, 0.0534, 0.2405, 0.0191, 0.0111, 0.0296, 0.0018, 0.0002, 0.0437, 0.0092, 0.0398]
