For Example 81, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0011, 0.0210, 0.0000, 0.0000, 0.0043, 0.0573, 0.0443, 0.0000, 0.0114, 0.0322, 0.0125, 0.0088, 0.0745, 0.0060, 0.0357, 0.0617, 0.1589, 0.0000, 0.0144, 0.0773, 0.0172, 0.0464, 0.0160, 0.0027, 0.0523, 0.0858, 0.0026, 0.0714, 0.6170, 0.0306, 0.0213, 0.0261]
For Example 82, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0075, 0.0362, 0.0012, 0.3581, 0.0510, 0.1287, 0.0450, 0.0536, 0.0000, 0.0100, 0.0150, 0.0108, 0.1312, 0.0758, 0.2181, 0.4442, 0.2255, 0.0172, 0.0152, 0.0073, 0.0091, 0.0078, 0.0182, 0.0512, 0.0000, 0.0136, 0.0030, 0.0101, 0.0013, 0.0031, 0.0214, 0.0010]
For Example 85, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0008, 0.0116, 0.0079, 0.1259, 0.0274, 0.0933, 0.0979, 0.0000, 0.0606, 0.0355, 0.0341, 0.0000, 0.0411, 0.0330, 0.0136, 0.0080, 0.0079, 0.0328, 0.0055, 0.0347, 0.0028, 0.0004, 0.0047, 0.0009, 0.0048, 0.0018, 0.0029, 0.0028, 0.0001, 0.0000, 0.0105, 0.0021]
For Example 86, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0008, 0.0096, 0.0099, 0.0788, 0.0234, 0.0000, 0.1224, 0.0000, 0.0996, 0.0196, 0.0299, 0.0005, 0.0147, 0.0243, 0.0175, 0.0002, 0.0000, 0.0079, 0.0006, 0.0054, 0.0186, 0.0128, 0.0276, 0.0023, 0.0872, 0.0321, 0.0000, 0.1814, 0.0041, 0.0443, 0.1798, 0.0000]
For Example 87, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0065, 0.0427, 0.0098, 0.3138, 0.2628, 0.0003, 0.0062, 0.0004, 0.0336, 0.0317, 0.0062, 0.0056, 0.1911, 0.0246, 0.0084, 0.0692, 0.0002, 0.0257, 0.2702, 0.0132, 0.6275, 0.0067, 0.0215, 0.1783, 0.2897, 0.4683, 0.2245, 0.0000, 0.0123, 0.0022, 0.0346, 0.0017]
For Example 89, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0017, 0.0169, 0.0050, 0.3399, 0.9998, 0.1198, 0.1539, 0.1479, 0.6246, 0.0157, 0.0012, 0.0000, 0.2944, 0.0386, 0.0537, 0.0000, 0.0493, 0.1373, 0.0161, 0.0633, 0.0238, 0.1206, 0.0124, 0.1557, 0.0488, 0.0283, 0.2634, 0.0216, 0.2425, 0.0153, 0.0129, 0.0214]
For Example 91, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0020, 0.0268, 0.0170, 0.3803, 0.1774, 0.4034, 0.1321, 0.0000, 0.0000, 0.3983, 0.1117, 0.0118, 0.0675, 0.0009, 0.0517, 0.3444, 0.0303, 0.0434, 0.0000, 0.0000, 0.0422, 0.1033, 0.0058, 0.0016, 0.0015, 0.0000, 0.0050, 0.0072, 0.0286, 0.0104, 0.0671, 0.0074]
For Example 92, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0015, 0.0128, 0.0000, 0.0000, 0.0110, 0.1018, 0.1391, 0.0000, 0.0087, 0.0433, 0.0359, 0.0079, 0.1640, 0.0187, 0.1868, 0.1323, 0.5192, 0.0000, 0.0475, 0.4211, 0.0000, 0.0249, 0.0000, 0.0291, 0.0224, 0.0108, 0.0836, 0.0177, 0.0020, 0.0480, 0.0018, 0.0178]
For Example 96, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0073, 0.0544, 0.5503, 0.3956, 0.3015, 0.1146, 0.0899, 0.0055, 0.0000, 0.0001, 0.1121, 0.0064, 0.0032, 0.3847, 0.0000, 0.0931, 0.0483, 0.0322, 0.1123, 0.2741, 0.0556, 0.0458, 0.2476, 0.0001, 0.5445, 1.6142, 0.0119, 0.0289, 0.0577, 0.0260, 0.0380, 0.0257]
For Example 102, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0030, 0.0179, 0.0035, 0.1203, 0.1396, 0.0428, 0.0258, 0.0305, 0.2563, 0.0134, 0.0001, 0.1153, 0.0028, 0.0216, 0.0164, 0.0034, 0.0171, 0.0156, 0.0897, 0.0597, 0.0474, 0.1191, 0.0330, 0.0159, 0.0195, 0.0044, 0.0297, 0.0077, 0.0257, 0.0065, 0.0100, 0.0012]
For Example 104, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0018, 0.0143, 0.0017, 0.0964, 0.0000, 0.1281, 0.0041, 0.0134, 0.1187, 0.1340, 0.0000, 0.3402, 0.0213, 0.7206, 0.0098, 0.0178, 0.1078, 0.0283, 0.0767, 0.0008, 0.0345, 0.0013, 0.0098, 0.0000, 0.0099, 0.0787, 0.0002, 0.0059, 0.0731, 0.0031, 0.0359, 0.2004]
